ICD9,HCC,HCC.PACE.ESRD,Description
0031 ,2,2,Salmonella septicemia 
00322,112,115,Salmonella pneumonia 
00323,37,39,Salmonella arthritis 
00324,37,39,Salmonella osteomyelitis
0064 ,112,115,Amebic lung abscess 
0074 ,5,6,Cryptosporidiosis 
0202 ,2,2,Septicemic plague 
0203 ,112,115,Primary pneumonic plague
0204 ,112,115,Secondary pneumon plague
0205 ,112,115,Pneumonic plague NOS 
0212 ,112,115,Pulmonary tularemia 
0221 ,112,115,Pulmonary anthrax 
0223 ,2,2,Anthrax septicemia 
0310 ,5,6,Pulmonary mycobacteria 
0312 ,5,6,DMAC bacteremia 
03283,31,33,Diphtheritic peritonitis
0362 ,2,2,Meningococcemia 
0363 ,,23,Meningococc adrenal synd
03682,37,39,Meningococc arthropathy 
0380 ,2,2,Streptococcal septicemia
03810,2,2,Staphylcocc septicem NOS
03811,2,2,Meth susc Staph aur sept
03812,2,2,MRSA septicemia 
03819,2,2,Staphylcocc septicem NEC
0382 ,2,2,Pneumococcal septicemia 
0383 ,2,2,Anaerobic septicemia 
03840,2,2,Gram-neg septicemia NOS 
03841,2,2,H. influenae septicemia 
03842,2,2,E coli septicemia 
03843,2,2,Pseudomonas septicemia 
03844,2,2,Serratia septicemia 
03849,2,2,Gram-neg septicemia NEC 
0388 ,2,2,Septicemia NEC 
0389 ,2,2,Septicemia NOS 
0391 ,112,115,Pulmonary actinomycosis 
0400 ,104,106,Gas gangrene 
0402 ,32,,Whipple's disease 
04082,2,2,Toxic shock syndrome 
042 ,1,1,Human immuno virus dis 
0460 ,,52,Kuru 
04611,,52,Varnt Creutzfeldt-Jakob 
04619,,52,Creutzfldt-Jakob NEC/NOS
0462 ,,52,Subac scleros panenceph 
0463 ,,52,Prog multifoc leukoencep
04671,,52,Gerstmn-Straus-Schnk syn
04672,,52,Fatal familial insomnia 
04679,,52,Prion dis of CNS NEC/NOS
0468 ,,52,Cns slow virus infec NEC
0469 ,,52,Cns slow virus infec NOS
0522 ,,72,Postvaricella myelitis 
05310,,,H zoster nerv syst NOS 
05311,,,Geniculate herpes zoster
05312,,,Postherpes trigem neural
05313,,,Postherpes polyneuropath
05314,,72,Herpes zoster myelitis 
05319,,,H zoster nerv syst NEC 
